Filename,Run Count,Last Run Date
"C:\Program Files (x86)\Tencent\WeChat\WeChat.exe",14,132424470371952974
"D:\work\design\导表\excel\数据表.xlsx",14,132422925714816875
"D:\work\design\导表\excel\shop.xlsx",10,132424649730512143
"D:\soft\WizNote\Wiz.exe",8,132424494323293359
"C:\Program Files\Egret\TextureMerger\TextureMerger.exe",4,132417844898926907
"D:\work\design\家族.xlsx",2,132421305685595947
"D:\soft\TIM\Bin\TIM.exe",2,132419290708639746
"C:\ProgramData\Microsoft\Windows\Start Menu\Programs\为知笔记",2,132410825671238404
"C:\Program Files (x86)\Tencent\WeChat\微信.lnk",2,132410825557621906
"C:\Users\User\AppData\Roaming\Microsoft\Windows\SendTo\为知笔记.lnk",2,132410823553517278
"D:\work\art\资源\特效\序列帧特效\effect_pack\effect_war01",1,132423155051654192
"D:\work\art\资源\common\ui_P\jjcicon\icon_jjcdj_09.png",1,132422912154831288
"C:\Program Files (x86)\Egret\EgretLauncher\EgretLauncher.exe",1,132422829165284557
"D:\work\art\导出图集\common\bitmapfont\card_num_font.fnt",1,132417842924213960
"D:\work\code\client\EgerPro_5_2_9\bin-debug\ui\loading\LoadingManager.js",1,132415912261252004
"D:\work\code\client\EgerPro_5_2_9\resource\common\bitmapfont\sh_font.fnt",1,132415139987743297
"C:\Windows\System32\drivers\etc\hosts",1,132412534913710826
"D:\work\art\1_正式效果图第一版\menu06家族\有家族\有家族蓝色版\家族09-聊天.jpg",1,132412398277745696
"D:\work\design\导表\excel\战斗表.xlsx",1,132411859658794482
"D:\work\code\client\EgerPro_5_2_9\resource\war\hero\10050\hero_10050.json",1,132411678418018103
"D:\work\art\导出图集\war\hero\export\hero_10050.png",1,132411678056087402
"D:\work\design\战斗.xlsx",1,132411673987094669
"D:\work\art\导出图集\war\hero\export\hero_10140.png",1,132411672188931819
"C:\Program Files\Mozilla Firefox\firefox.exe",1,132410902949296795
"D:\soft\QQmusic\QQMusic.exe",1,132410870704604166
"D:\work\art\1_正式效果图第一版\menu06家族\有家族\有家族蓝色版\家族17-主页07.jpg",1,132410851292693868
"D:\work\art\1_正式效果图第一版\menu06家族",1,132410851214559399
"C:\Program Files\Listary\Listary.exe",1,132410829188349572
"C:\Program Files\Ditto\Ditto.exe",1,132410827774088680
"D:\360Downloads\Software\微信_2.9.5.41.exe",1,132410825213622230
